v_19rrkuslrw	AlphaGO 3：0完胜李世石 被指作弊！—早班机
av31016758	珍贵资料！谷歌深度学习技术最初在AlphaGo上的应用
av10869582	「科技三分钟」苹果邮件暗示iPhone8发布时间 AlphaGo 3:0横扫柯洁 170527
id_XMjc3Nzg2OTgzMg==	人机大战柯杰对决AlphaGo无胜算
av10996154	AlphaGo 中国乌镇·围棋峰会 配对赛&团队赛 赛后分析
f07957dr0lw	滴滴算法比围棋算法更复杂？网友：你对AlphaGo的力量一无所知！
av27785758	【MMD】如诩式AlphaGo--into the fire
av10920530	【世界第一】天才围棋少年败给人工智能后对世界的深远影响，世界最强棋手败给AlphaGo，人类棋牌最后的阵地在哪里？
id_XMjc4MjAxMzQ4MA==	通天下20170523国内：人机大战第二季！柯洁对弈AlphaGo首战小负 高清
c050665w4ip	【柯洁输多少是由AlphaGo决定的？】人机大战第二季首局，AlphaGo执白1/4子战胜柯洁，虽然看上去柯洁输的并不多，但聂卫平以及常昊夫妇都表示这其实是Al...
av18213521	【碧蓝海事局】不打断Boss技能！2船极限S胜D1Boss破局者I型！
w00198c1rmm	古力：AlphaGo下法似李昌镐 比赛基本无失误
v03921iftj8	中国棋手柯洁霸气宣战：AlphaGo赢不了我！不愧是世界第一
h0779p1qdnx	柯杰战AlphaGo 围棋人机大战巅峰对决
q0542du6ehi	AlphaGo 出现之前40年的世界围棋十大高手动态排名
f050795t11m	AlphaGo 出现之前40年的世界围棋十大高手动态排名
v0023pvkr3h	“人机大战”第一季回眸 AlphaGo“漏洞”被人类点中？
av41640681	【星际争霸】人类高手被AlphaGo的弟弟打得比国足还惨（弹幕点评版）
l0562ppjmgd	人类不是最好对手！新AlphaGo放弃人类经验后棋力飞涨
av11056072	柯洁CCTV访谈 AlphaGo超越人类是板上钉钉的事情 我们棋手把自己想得太伟大了
av41063325	Alphago后时代，AI开局库第四集-柯洁拿下七冠王的那局棋
f0507761guj	AlphaGo 出现之前40年的世界围棋十大高手动态排名
id_XMjY1MTM4OTQ2MA==	【范团视频】TechU：中国版 “AlphaGo” 击败日韩对手获围棋 AI 冠军
w0848aihcou	世界围棋冠军柯洁，自曝与alphago大战失败的原因，其态度让人敬佩！
av19339281	【碧蓝海事局】3船S胜超次元海王星联动Extra关卡！见识一下碧蓝航线最极限的操作吧！
